"c","unem","mw"
"AFG",8.5,true
"ALB",14.2,true
"ARE",4.0,true
"ARG",7.7,true
"ARM",19.0,true
"AUS",5.2,true
"AUT",4.4,true
"AZE",5.6,true
"BDI",7.8,true
"BEL",8.3,true
"BEN",1.0,true
"BFA",3.3,true
"BGD",4.5,true
"BGR",10.2,true
"BHR",7.5,true
"BHS",14.1,true
"BIH",27.2,true
"BLZ",8.3,true
"BOL",3.3,true
"BRA",7.9,true
"BRB",10.8,false
"BRN",3.7,true
"BTN",3.3,true
"BWA",17.9,true
"CAN",8.0,true
"CHE",4.5,true
"CHL",8.1,true
"CHN",4.2,true
"CIV",4.0,true
"CMR",3.8,true
"COL",11.6,true
"COM",7.1,true
"CPV",7.7,true
"CRI",7.3,true
"CUB",2.5,false
"CYP",6.3,true
"CZE",7.3,true
"DEU",7.1,true
"DNK",7.5,true
"DOM",12.4,true
"DZA",10.0,true
"ECU",5.0,true
"EGY",9.0,true
"ERI",8.1,true
"ESP",20.2,true
"EST",16.9,true
"ETH",5.4,true
"FIN",8.4,true
"FJI",8.6,true
"FRA",9.3,true
"GAB",20.4,true
"GBR",7.8,true
"GEO",16.3,true
"GHA",3.6,true
"GIN",3.1,true
"GNQ",7.7,true
"GRC",12.5,true
"GTM",3.5,true
"GUM",8.2,false
"GUY",21.0,true
"HKG",4.3,true
"HND",4.8,true
"HRV",11.8,true
"HTI",8.3,true
"HUN",11.2,true
"IDN",7.1,true
"IND",3.5,true
"IRL",13.9,true
"IRN",13.5,true
"IRQ",15.2,true
"ISL",7.6,true
"ISR",6.6,true
"ITA",8.4,true
"JAM",12.4,true
"JOR",12.5,true
"JPN",5.0,true
"KAZ",5.8,true
"KEN",9.3,true
"KGZ",8.6,true
"KHM",1.6,true
"KOR",3.7,true
"KWT",1.6,true
"LAO",1.4,true
"LBN",8.9,true
"LBR",3.7,true
"LCA",20.6,true
"LKA",4.9,true
"LSO",24.0,true
"LTU",17.8,true
"LUX",4.4,true
"LVA",18.7,true
"MAC",2.8,false
"MAR",9.1,true
"MDA",7.4,true
"MDG",3.6,true
"MDV",11.7,true
"MEX",5.2,true
"MKD",32.0,true
"MLI",8.1,true
"MLT",6.9,false
"MMR",4.2,false
"MNE",19.7,true
"MNG",6.5,true
"MOZ",7.5,true
"MRT",31.1,true
"MUS",7.7,true
"MWI",7.6,true
"MYS",3.4,true
"NAM",22.1,true
"NER",5.1,true
"NGA",7.6,true
"NIC",8.0,true
"NLD",4.5,true
"NOR",3.6,true
"NPL",2.7,true
"NZL",6.5,true
"PAK",5.1,true
"PAN",6.5,true
"PER",4.0,true
"PHL",7.3,true
"PNG",2.4,true
"POL",9.6,true
"PRI",16.2,true
"PRT",10.8,true
"PRY",5.7,true
"PSE",23.7,true
"QAT",0.4,true
"ROU",7.3,true
"RUS",7.3,true
"RWA",0.6,true
"SAU",5.5,true
"SEN",9.9,true
"SGP",3.1,true
"SLB",4.4,true
"SLE",3.4,true
"SLV",7.0,true
"SRB",19.2,true
"SUR",12.9,true
"SVK",14.4,true
"SVN",7.2,true
"SWE",8.6,true
"SWZ",22.8,true
"SYR",8.4,true
"TCD",7.6,true
"THA",1.0,true
"TLS",3.9,true
"TTO",5.9,true
"TUN",13.0,true
"TUR",11.9,true
"TZA",3.0,true
"UGA",4.2,true
"UKR",8.1,true
"URY",6.8,true
"USA",9.7,true
"VEN",8.6,true
"VNM",2.3,true
"YEM",17.8,true
"ZAF",24.7,true
"ZMB",13.2,true
"ZWE",4.1,true
